"Carimbo de data/hora","Em que período você se encontra?","Que curso você faz?","Em que campus você estuda?","Você acredita que as vagas ofertadas no RAE foram suficientes?","Com relação às disciplinas que queria cursar, você conseguiu se matricular em:","No geral, você acha o RAE:","Você acredita que o seu desempenho no RAE, em comparação com o presencial:","Na sua opinião, a qualidade do ensino no RAE, em comparação com o presencial, é:","Você acredita que o RAE afetou sua saúde mental para:","No que diz respeito a dificuldades técnicas (queda de internet ou energia, indisponibilidade de equipamento etc), você passa por elas:","Na sua opinião, os professores são tolerantes com imprevistos que impossibilitem a realização de atividades?","No geral, você acha que essas dificuldades prejudicam o seu desempenho?","Em geral, você acha que a atuação dos professores no RAE é/está sendo:","Na sua experiência, o atendimento individual dos professores aos alunos está sendo:","Na sua opinião, em comparação com o regime presencial, no RAE os professores estão:","No geral, em comparação com o regime presencial, você acha que o volume de atividades exigidas no RAE é:","Você julga esse volume de atividades abusivo?","Como você avalia a atuação da UFCG diante da pandemia?","Como você avalia o desempenho da coordenação do seu curso no atendimento e suporte aos estudantes no RAE?"
"2020/10/27 9:32:32 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Sim","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito menor","Não","Excelente","Excelente"
"2020/10/27 9:33:54 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Excelente"
"2020/10/27 9:38:28 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Péssima","Bom"
"2020/10/27 9:39:10 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Todas","Excelente","Não mudou","Igual","Não afetou","Nunca","Não sei/Não quero responder","Não passo por essas dificuldades","Boa","Bom","Menos exigentes","Igual","Sim","Excelente","Excelente"
"2020/10/27 9:39:30 AM GMT-3","1","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Ruim","Bom"
"2020/10/27 9:42:18 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Melhorou","Igual","Melhor","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Menos exigentes","Igual","Não","Boa","Bom"
"2020/10/27 9:43:53 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Não","Boa","Excelente"
"2020/10/27 9:44:45 AM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"2020/10/27 9:44:55 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Regular","Excelente"
"2020/10/27 9:46:25 AM GMT-3","7","História","Cajazeiras","Não","Algumas","Ruim","Não mudou","Pior","Não afetou","Frequentemente","Sim","Nao","Boa","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
